mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
302,720,29100,9752904,45.4151756,-75.7076017,-75,1604849036601,28.8,5.7362175,16.094675,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4154948,-75.7069022,-66,1604849044000,24.7,9.412895,53.41893,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4156968,-75.7062808,-81,1604849049000,22.5,9.370333,60.49957,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4158989,-75.7057006,-77,1604849054000,15.0,9.253469,58.26604,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.416077,-75.7052026,-76,1604849059000,10.7,7.6067843,57.250656,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4161838,-75.7047845,-90,1604849069000,15.0,1.8270501,50.788662,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4159529,-75.7047381,-90,1604849074707,24.2,2.4093845,172.0017,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4159109,-75.7047076,-94,1604849080581,58.4,0.0,0.0,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4160645,-75.7047079,-90,1604849086817,70.5,0.42052335,80.80057,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4160817,-75.7047093,-100,1604849092462,17.2,1.4414946,52.072853,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4165849,-75.7038076,-108,1604849103000,18.2,8.742737,42.76977,LTE+,2,,29100,272,,,
302,720,29100,9752903,45.4165849,-75.7038076,-98,1604849107487,18.2,8.742737,42.76977,LTE+,2,,29100,264,,,
302,720,29100,9752903,45.4172288,-75.7026149,-108,1604849118000,11.8,10.225839,53.188335,LTE+,2,,29100,264,,,
302,720,29100,9567816,45.4178114,-75.7015152,-103,1604849128000,28.9,7.370181,43.113964,LTE+,2,,29100,248,,,
302,720,29100,9567815,45.4180852,-75.7009533,-104,1604849134000,37.5,11.301834,64.5097,LTE+,4,,29100,240,,,
302,720,29100,9567815,45.4184748,-75.6995405,-93,1604849144000,31.1,7.5577064,64.3358,LTE+,3,,29100,240,,,
302,720,29100,9567815,45.4185674,-75.6991333,-88,1604849149000,35.4,7.3151855,66.1798,LTE+,2,,29100,240,,,
302,720,29100,9567815,45.4185137,-75.6989196,-92,1604849154722,45.6,3.5387886,91.14671,LTE+,2,,29100,240,,,
302,720,29100,9567815,45.4183074,-75.6991057,-83,1604849164000,42.9,1.8928878,198.8699,LTE+,2,,29100,240,,,
302,720,29100,9567815,45.418326,-75.6991488,-83,1604849170421,41.7,0.64404434,232.6812,LTE,,,29100,240,,,
302,720,29100,9567815,45.4184201,-75.6992153,-83,1604849178000,23.6,0.64907837,322.2053,LTE+,2,,29100,240,,,
302,720,29100,9567815,45.4185668,-75.6990776,-83,1604849184000,46.2,2.7125177,31.620401,LTE,2,,29100,240,,,
302,720,29100,9567815,45.4188438,-75.6987522,-83,1604849189000,48.4,5.7428718,36.66442,LTE,2,,29100,240,,,
302,720,29100,9567815,45.4188887,-75.6988399,-90,1604849198000,13.4,6.326417,140.05838,LTE,2,,29100,240,,,
302,720,29100,9567815,45.4186361,-75.6983633,-90,1604849204000,37.5,11.299531,103.86385,LTE,2,,29100,240,,,
302,720,29100,9567815,45.4186626,-75.6975813,-100,1604849209000,34.3,8.389029,58.692654,LTE+,3,,29100,240,,,
302,720,29100,9438792,45.418898,-75.6966668,-91,1604849220660,38.2,4.513587,130.79916,LTE,2,,29100,200,,,
302,720,29100,9751879,45.4188234,-75.6965773,-89,1604849225995,70.7,1.2914673,136.4102,LTE+,3,,29100,261,,,
302,720,29100,9751881,45.418596,-75.6967161,-105,1604849231005,73.0,4.376587,202.23932,LTE,3,,29100,277,,,
302,720,29100,9567815,45.4182106,-75.6972517,-106,1604849237000,5.4,7.8988423,192.46834,LTE+,3,,29100,240,,,
302,720,29100,9567815,45.4177959,-75.6978869,-99,1604849247000,16.1,9.680992,203.43823,LTE+,3,,29100,240,,,
302,720,29100,9567815,45.4178112,-75.6982025,-95,1604849257000,9.6,0.45883474,217.2018,LTE,3,,29100,240,,,
302,720,29100,9567815,45.4178,-75.6981354,-95,1604849264195,26.3,0.7047741,113.002144,LTE,3,,29100,240,,,
302,720,29100,9751881,45.4177869,-75.6982132,-94,1604849272000,13.5,1.9487728,217.31598,LTE+,2,,29100,277,,,
302,720,29100,9567815,45.4175619,-75.6989422,-99,1604849282000,10.7,7.08996,241.0158,LTE,3,,29100,240,,,
302,720,29100,9751881,45.4174596,-75.6994322,-100,1604849287000,7.5,3.763274,238.54582,LTE+,2,,29100,277,,,
302,720,29100,9751881,45.4171226,-75.7000641,-100,1604849297000,12.9,7.707849,236.46207,LTE+,2,,29100,277,,,
302,720,29100,9751881,45.4170299,-75.7005493,-102,1604849307000,7.5,0.20219886,246.40909,LTE,3,,29100,277,,,
302,720,29100,9751881,45.4170895,-75.7005063,-103,1604849312000,15.5,1.597103,28.806715,LTE+,3,,29100,277,,,
302,720,29100,9751881,45.4170925,-75.700484,-103,1604849317000,7.5,0.34347644,73.90071,LTE,3,,29100,277,,,
302,720,29100,9751881,45.4171024,-75.7005204,-103,1604849322000,11.8,0.087212056,301.35712,LTE,3,,29100,277,,,
302,720,29100,9751881,45.4171087,-75.7005072,-103,1604849327000,16.0,0.26420698,56.90501,LTE,3,,29100,277,,,
