mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
302,720,29100,7688709,45.4151075,-75.707033,-79,1603558343143,26.0,0.0,0.0,LTE+,2,,29100,272,,,
302,720,29100,7688709,45.4151446,-75.7069614,-72,1603558349390,26.8,3.4033768,45.015823,LTE+,1,,29100,272,,,
302,720,29100,7688709,45.4156222,-75.7058465,-78,1603558363381,23.3,6.5908966,57.56794,LTE+,1,,29100,272,,,
302,720,29100,7688709,45.4158207,-75.7054722,-87,1603558373371,22.3,8.875638,50.524975,LTE+,1,,29100,272,,,
302,720,29100,7688709,45.4164374,-75.704187,-98,1603558385532,16.3,18.305597,61.431564,LTE+,2,,29100,272,,,
302,720,29100,7688708,45.416888,-75.702944,-96,1603558396325,35.1,11.4023905,58.414856,LTE+,2,,29100,264,,,
302,720,29100,9237250,45.4170892,-75.7026549,-98,1603558402000,26.9,6.9088073,37.603096,LTE+,2,,29100,248,,,
302,720,29100,9237250,45.4176571,-75.7019014,-97,1603558410000,41.8,6.306036,14.005008,LTE+,2,,29100,248,,,
302,720,29100,26302722,45.4178812,-75.7014901,-93,1603558418936,58.2,4.7589245,31.709976,LTE+,2,,29100,368,,,
302,720,29100,26302722,45.4174711,-75.7012731,-93,1603558427972,56.2,2.6304553,139.455,LTE+,2,,29100,368,,,
302,720,29100,26302722,45.4174382,-75.7013318,-94,1603558434000,26.3,1.0587369,165.03114,LTE+,2,,29100,368,,,
302,720,29100,26302722,45.4174383,-75.7013342,-93,1603558439000,39.2,0.27387288,166.79073,LTE+,2,,29100,368,,,
302,720,29100,26302722,45.417464,-75.7012928,-96,1603558444000,12.9,1.1570914,3.0788183,LTE+,2,,29100,368,,,
302,720,29100,26323458,45.4180568,-75.700935,-91,1603558454000,23.6,8.948183,43.090023,LTE+,2,,29100,224,,,
302,720,29100,26323458,45.4185338,-75.6997958,-76,1603558464000,17.2,9.651976,59.882835,LTE+,2,,29100,224,,,
302,720,29100,26323458,45.418664,-75.6992778,-85,1603558469000,16.1,2.3265524,59.22343,LTE+,2,,29100,224,,,
302,720,29100,26323458,45.4186408,-75.6991909,-87,1603558474000,17.2,1.8776294,61.621044,LTE+,2,,29100,224,,,
302,720,29100,26323458,45.4184637,-75.6993078,-86,1603558481592,33.4,2.332603,203.48225,LTE+,1,,29100,224,,,
302,720,29100,26323458,45.418467,-75.6993076,-86,1603558489000,20.7,0.1599325,210.1735,LTE+,2,,29100,224,,,
302,720,29100,26323458,45.4184866,-75.6992972,-86,1603558494415,23.5,0.267365,19.143267,LTE+,2,,29100,224,,,
302,720,29100,9567815,45.4184842,-75.6992921,-87,1603558504000,12.3,0.051033188,92.39888,LTE,,,29100,240,,,
