mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
302,720,29100,9752904,45.4150321,-75.7073498,-79,1604760830624,32.5,0.193079,26.079391,LTE+,2,,29100,272,,,
302,720,29100,9752904,45.4151806,-75.7068314,-75,1604760836847,26.8,8.707988,62.88832,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.415503,-75.706181,-77,1604760843848,26.8,7.606518,72.31136,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4160311,-75.7051879,-77,1604760853844,26.8,6.205212,97.87936,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4162089,-75.704798,-97,1604760859838,23.6,1.4336501,122.899666,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4161338,-75.7047881,-100,1604760864832,37.5,1.3910255,130.57645,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4160991,-75.7048489,-100,1604760870604,56.6,0.53409714,210.80281,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4164825,-75.7048496,-100,1604760876153,49.5,1.1580653,355.75632,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.416417,-75.704837,-100,1604760883851,90.3,0.5572203,183.4468,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4162186,-75.7046302,-99,1604760888851,12.9,2.6990237,74.718765,LTE+,1,,29100,272,,,
302,720,29100,9752904,45.4162852,-75.704436,-106,1604760895828,57.5,0.42704967,48.936203,LTE+,2,,29100,272,,,
302,720,29100,9752904,45.4164315,-75.7039857,-111,1604760901846,41.0,3.108381,149.9389,LTE+,2,,29100,272,,,
302,720,29100,9752903,45.4164315,-75.7039857,-102,1604760906338,41.0,3.108381,149.9389,LTE+,2,,29100,264,,,
302,720,29100,9752903,45.4166923,-75.7038659,-95,1604760912846,72.0,1.4997587,5.0690866,LTE+,2,,29100,264,,,
302,720,29100,9752903,45.4168352,-75.7035905,-99,1604760917847,39.7,6.370111,85.77317,LTE+,2,,29100,264,,,
302,720,29100,9567816,45.4175366,-75.702289,-106,1604760927847,39.1,7.21871,53.156857,LTE+,1,,29100,248,,,
302,720,29100,9567816,45.4176961,-75.7011729,-103,1604760932847,18.2,10.075176,57.18274,LTE+,2,,29100,248,,,
302,720,29100,9567816,45.4179437,-75.7004432,-107,1604760938843,37.5,9.509702,26.495531,LTE+,3,,29100,248,,,
302,720,29100,9567815,45.4183765,-75.6997624,-94,1604760948842,84.7,2.531153,52.24337,LTE+,3,,29100,240,,,
302,720,29100,9567815,45.4186149,-75.6994882,-86,1604760953835,76.1,2.836314,167.1929,LTE+,2,,29100,240,,,
302,720,29100,9567815,45.4191508,-75.6990725,-87,1604760963843,35.4,3.2070694,191.14088,LTE+,2,,29100,240,,,
302,720,29100,9567815,45.4190347,-75.6990459,-94,1604760974845,48.2,0.21232615,165.90428,LTE+,2,,29100,240,,,
