mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
302,720,29100,7693077,45.4211358,-75.6793702,-92,1610295449127,16.3,13.148173,148.77467,LTE,3,,29100,213,,,
302,720,29100,7693077,45.4201863,-75.678573,-97,1610295458000,7.5,14.837953,149.04626,LTE,3,,29100,213,,,
302,720,29100,9567049,45.4194955,-75.6780426,-83,1610295464103,18.2,12.990565,152.83574,LTE,,,29100,373,,,
302,720,29100,9567049,45.419019,-75.677767,-103,1610295473000,9.6,2.5448842,172.1056,LTE+,4,,29100,373,,,
302,720,29100,9567049,45.4190157,-75.6778394,-106,1610295478000,9.2,4.879392,222.20744,LTE+,4,,29100,373,,,
302,720,29100,9567049,45.4181981,-75.6786145,-103,1610295488000,10.7,11.444688,189.3921,LTE+,4,,29100,373,,,
302,720,29100,9567049,45.4170793,-75.6788741,-110,1610295498000,9.1,10.732267,215.87987,LTE+,4,,29100,373,,,
302,720,29100,9567049,45.4166807,-75.6792962,-108,1610295503000,12.9,10.463093,205.72281,LTE+,4,,29100,373,,,
302,720,29100,7693128,45.415659,-75.6798443,-108,1610295513000,5.4,12.372885,201.94673,LTE+,5,,29100,221,,,
302,720,29100,9244418,45.4146232,-75.6804065,-102,1610295523000,7.5,11.26886,214.16995,LTE,5,,29100,221,,,
302,720,29100,9244418,45.4144137,-75.681135,-92,1610295533000,7.5,7.04734,320.61386,LTE,6,,29100,221,,,
302,720,29100,9244418,45.4149188,-75.6814528,-88,1610295538000,6.4,9.286783,339.57703,LTE,6,,29100,221,,,
302,720,29100,9244418,45.4152661,-75.681546,-85,1610295543000,4.3,3.9275076,357.08023,LTE+,5,,29100,221,,,
302,720,29100,9244418,45.4160021,-75.6811405,-80,1610295553000,9.6,14.800071,21.03249,LTE,5,,29100,221,,,
302,720,29100,9244418,45.4167423,-75.6806748,-83,1610295558000,6.4,15.592398,26.76032,LTE+,4,,29100,221,,,
302,720,29100,9244418,45.4173863,-75.6801874,-84,1610295563000,9.6,15.517183,27.946444,LTE+,4,,29100,221,,,
302,720,29100,9244418,45.4186633,-75.6799111,-88,1610295573000,5.4,14.736926,339.0702,LTE,3,,29100,221,,,
302,720,29100,9244418,45.4196379,-75.6812387,-94,1610295583000,8.6,14.228286,307.18866,LTE+,,,29100,221,,,
302,720,29100,7693128,45.4199589,-75.6820351,-98,1610295588000,5.4,13.672433,303.9592,LTE,,,29100,221,,,
302,720,29100,7693128,45.4203931,-75.6829788,-96,1610295598000,7.0,1.0138127,300.08875,LTE+,2,,29100,221,,,
302,720,29100,7693128,45.4203979,-75.6829813,-96,1610295603778,13.4,3.5897636,306.0162,LTE+,2,,29100,221,,,
302,720,29100,7693128,45.4207602,-75.6836351,-98,1610295613000,9.6,11.737387,304.14426,LTE+,2,,29100,221,,,
302,720,29100,7693128,45.4215261,-75.6851859,-88,1610295623000,7.5,15.521507,303.12656,LTE+,1,,29100,221,,,
302,720,29100,7693129,45.4219216,-75.6861158,-81,1610295628000,6.4,16.152433,298.32272,LTE+,0,,29100,229,,,
302,720,29100,7693129,45.4222422,-75.6870663,-84,1610295633000,5.4,16.037422,293.18585,LTE+,0,,29100,229,,,
302,720,29100,7693129,45.4227735,-75.6888923,-81,1610295643000,11.3,15.805433,293.73434,LTE+,1,,29100,229,,,
302,720,29100,8227656,45.4234491,-75.690576,-96,1610295653000,15.0,14.104842,297.25687,LTE+,1,,29100,176,,,
302,720,29100,7693129,45.4239747,-75.6919191,-94,1610295663000,10.7,8.684713,304.25085,LTE,5,,29100,229,,,
302,720,29100,8227656,45.4241799,-75.6920353,-81,1610295673000,12.6,1.1894898,342.3754,LTE+,0,,29100,176,,,
302,720,29100,8227656,45.4241299,-75.6921128,-80,1610295678000,20.8,1.7321835,231.36064,LTE+,0,,29100,176,,,
