mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
302,720,29100,9552457,45.4288136,-75.6879671,-84,1610210978000,21.8,0.5954899,175.13168,LTE+,0,,29100,205,,,
302,720,29100,9552457,45.4287317,-75.6880042,-83,1610210983603,38.1,0.38854864,181.2297,LTE+,1,,29100,205,,,
302,720,29100,9552457,45.4287696,-75.6881937,-83,1610210988656,31.0,2.2876348,282.99228,LTE+,1,,29100,205,,,
302,720,29100,9552457,45.4287946,-75.6883056,-83,1610210993693,35.4,1.8998301,286.01062,LTE,,,29100,205,,,
302,720,29100,9552457,45.4288621,-75.6882713,-84,1610210998719,28.2,1.1770297,346.15137,LTE+,1,,29100,205,,,
302,720,29100,9552457,45.4289053,-75.6882348,-84,1610211008000,32.2,0.5741281,25.423784,LTE+,1,,29100,205,,,
302,720,29100,9552457,45.4289104,-75.6882276,-84,1610211013000,39.1,0.29099455,30.774963,LTE+,1,,29100,205,,,
302,720,29100,9552457,45.4289038,-75.6882124,-78,1610211023000,25.1,0.23419166,141.60312,LTE+,1,,29100,205,,,
302,720,29100,9552457,45.4289087,-75.6876833,-73,1610211028000,37.0,9.492657,64.81525,LTE+,1,,29100,205,,,
302,720,29100,9552457,45.4293026,-75.6865288,-86,1610211038000,12.9,2.6159859,78.985565,LTE+,1,,29100,205,,,
302,720,29100,9552457,45.4292688,-75.6864395,-82,1610211043000,13.4,3.4326823,108.63503,LTE+,2,,29100,205,,,
302,720,29100,9552455,45.4287772,-75.6857873,-78,1610211053000,17.7,10.506747,141.3654,LTE+,0,,29100,189,,,
302,720,29100,9552455,45.4283133,-75.6853225,-87,1610211058000,11.8,5.1346054,144.74197,LTE+,0,,29100,189,,,
302,720,29100,9552456,45.4280942,-75.6851875,-83,1610211063089,23.0,1.2563964,150.29457,LTE+,0,,29100,197,,,
302,720,29100,9552456,45.4280619,-75.6852072,-83,1610211068802,27.6,0.1978277,152.74557,LTE+,0,,29100,197,,,
302,720,29100,9552456,45.4280597,-75.6852728,-82,1610211073843,21.5,0.20919658,151.53455,LTE+,0,,29100,197,,,
302,720,29100,9552456,45.4280393,-75.6852911,-82,1610211078847,21.5,0.18684405,152.34694,LTE+,0,,29100,197,,,
302,720,29100,9552456,45.4279366,-75.6851337,-81,1610211088000,23.0,5.8118706,144.26682,LTE+,0,,29100,197,,,
302,720,29100,9552456,45.427238,-75.6845555,-100,1610211098000,9.6,8.48522,148.20085,LTE+,1,,29100,197,,,
302,720,29100,9552456,45.4270145,-75.6843516,-100,1610211108000,11.1,0.33696625,150.13858,LTE+,1,,29100,197,,,
302,720,29100,9552456,45.426992,-75.6844105,-99,1610211113060,24.0,0.45779505,197.78752,LTE,,,29100,197,,,
